"icd10cm","icd10cm_str","phecode","phecode_str","exclude_range","exclude_name","leaf","rollup"
"Y27.1","Contact with hot tap water, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y25.XXXD","Contact with explosive material, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.1","Contact with knife, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y29","Contact with blunt object, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.A94S","Poisoning by other bacterial vaccines, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.8XXA","Other firearm discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.9XXA","Unspecified firearm discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y31","Falling, lying or running before or into moving object, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.9","Unspecified firearm discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y26","Exposure to smoke, fire and flames, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.904S","Poisoning by unspecified drugs, medicaments and biological substances, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.8","Contact with other sharp object, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.0XXS","Shotgun discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.0XXD","Contact with steam and hot vapors, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y31.XXXA","Falling, lying or running before or into moving object, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.9","Contact with unspecified hot objects, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.8XXS","Contact with other sharp object, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.0XXA","Contact with steam and hot vapors, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.8","Contact with other hot objects, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.8","Other larger firearm discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.0XXA","Shotgun discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.3XXA","Machine gun discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.8XXS","Other firearm discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.1XXA","Hunting rifle discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.8XXA","Contact with other hot objects, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.1XXS","Contact with knife, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.A24S","Poisoning by mixed bacterial vaccines without a pertussis component, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.2XXS","Contact with hot fluids, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.3","Machine gun discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.1XXD","Contact with knife, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.0XXD","Airgun discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.3XXD","Contact with hot household appliance, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.9XXS","Unspecified larger firearm discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.8XXD","Other firearm discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.Z94S","Poisoning by other vaccines and biological substances, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y32.XXXD","Crashing of motor vehicle, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.8XXA","Contact with other sharp object, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.0XXA","Contact with sharp glass, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.B94S","Poisoning by other viral vaccines, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.8XXD","Contact with other sharp object, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y22.XXXA","Handgun discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y29.XXXA","Contact with blunt object, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.8XXS","Contact with other hot objects, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y32","Crashing of motor vehicle, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y33.XXXA","Other specified events, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.1XXS","Contact with hot tap water, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.9XXS","Contact with unspecified hot objects, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.2XXD","Military firearm discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.9XXD","Contact with unspecified sharp object, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.9XXA","Contact with unspecified hot objects, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.9XXA","Contact with unspecified sharp object, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y33.XXXD","Other specified events, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.2XXA","Contact with hot fluids, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.0XXS","Contact with sharp glass, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y25.XXXA","Contact with explosive material, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.3XXS","Machine gun discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.1XXA","Contact with knife, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.8XXD","Other larger firearm discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y33","Other specified events, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.0XXD","Contact with sharp glass, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27","Contact with steam, hot vapors and hot objects, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.9XXS","Unspecified firearm discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28","Contact with sharp object, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.1","Hunting rifle discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.9XXD","Unspecified larger firearm discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.1XXD","Contact with hot tap water, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.B14S","Poisoning by smallpox vaccines, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y32.XXXS","Crashing of motor vehicle, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.9","Contact with unspecified sharp object, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.9XXD","Contact with unspecified hot objects, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y31.XXXS","Falling, lying or running before or into moving object, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y25.XXXS","Contact with explosive material, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y31.XXXD","Falling, lying or running before or into moving object, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.2","Contact with sword or dagger, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y26.XXXS","Exposure to smoke, fire and flames, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y26.XXXD","Exposure to smoke, fire and flames, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.8","Other firearm discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y29.XXXD","Contact with blunt object, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.9","Unspecified larger firearm discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y22.XXXD","Handgun discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.2XXS","Military firearm discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.3","Contact with hot household appliance, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y22","Handgun discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.9XXD","Unspecified firearm discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.A14S","Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.2XXA","Contact with sword or dagger, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.1XXD","Hunting rifle discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.3XXA","Contact with hot household appliance, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.0","Contact with sharp glass, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.3XXS","Contact with hot household appliance, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.0XXD","Shotgun discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y27.0","Contact with steam and hot vapors, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"T50.Z14S","Poisoning by immunoglobulin, undetermined, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.2","Military firearm discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y25","Contact with explosive material, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.0XXA","Airgun discharge, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.1XXS","Hunting rifle discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y24.0","Airgun discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y22.XXXS","Handgun discharge, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y28.2XXS","Contact with sword or dagger, undetermined intent, sequela","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.0","Shotgun discharge, undetermined intent","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y23.3XXD","Machine gun discharge, undetermined intent, subsequent encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"Y32.XXXA","Crashing of motor vehicle, undetermined intent, initial encounter","297","Suicidal ideation or attempt","295-306.99","mental disorders","0","1"
"K01.1","Impacted teeth","520.2","Disturbances in tooth eruption","520-526.99","digestive","1","1"
"K01","Embedded and impacted teeth","520.2","Disturbances in tooth eruption","520-526.99","digestive","1","1"
"K00.6","Disturbances in tooth eruption","520.2","Disturbances in tooth eruption","520-526.99","digestive","1","1"
"K01.0","Embedded teeth","520.2","Disturbances in tooth eruption","520-526.99","digestive","1","1"
"M40.40","Postural lordosis, site unspecified","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.57","Lordosis, unspecified, lumbosacral region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.47","Postural lordosis, lumbosacral region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.46","Postural lordosis, lumbar region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.4","Postural lordosis","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.45","Postural lordosis, thoracolumbar region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M96.4","Postsurgical lordosis","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.55","Lordosis, unspecified, thoracolumbar region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.5","Lordosis, unspecified","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.56","Lordosis, unspecified, lumbar region","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"M40.50","Lordosis, unspecified, site unspecified","737.2","Lordosis (acquired)","735-739.99","musculoskeletal","1","1"
"R87.624","Cytologic evidence of malignancy on smear of vagina","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.614","Cytologic evidence of malignancy on smear of cervix","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.820","Cervical low risk human papillomavirus (HPV) DNA test positive","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.821","Vaginal low risk human papillomavirus (HPV) DNA test positive","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.811","Vaginal high risk human papillomavirus (HPV) DNA test positive","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.810","Cervical high risk human papillomavirus (HPV) DNA test positive","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"R87.628","Other abnormal cytological findings on specimens from vagina","792","Abnormal Papanicolaou smear of cervix and cervical HPV","174-184.99, 218-218.","genitourinary","0","1"
"F95.8","Other tic disorders","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F98.5","Adult onset fluency disorder","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F95","Tic disorder","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F98.4","Stereotyped movement disorders","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F95.1","Chronic motor or vocal tic disorder","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F95.2","Tourette's disorder","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F95.0","Transient tic disorder","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"F95.9","Tic disorder, unspecified","313.2","Tics and stuttering","312-315.99","mental disorders","1","1"
"I74.8","Embolism and thrombosis of other arteries","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"I74.11","Embolism and thrombosis of thoracic aorta","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"I74","Arterial embolism and thrombosis","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"I74.2","Embolism and thrombosis of arteries of the upper extremities","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"I74.5","Embolism and thrombosis of iliac artery","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"I74.9","Embolism and thrombosis of unspecified artery","444","Arterial embolism and thrombosis","440-449.99","circulatory system","0","1"
"R91","Abnormal findings on diagnostic imaging of lung","514","Abnormal findings examination of lungs","514-514.99","respiratory","1","1"
"R91.8","Other nonspecific abnormal finding of lung field","514","Abnormal findings examination of lungs","514-514.99","respiratory","1","1"
"R50.82","Postprocedural fever","783.1","Postprocedural fever","783-783.99","symptoms","1","1"
"R22.2","Localized swelling, mass and lump, trunk","519.9","Symptoms involving respiratory system and other chest symptoms","519-519.99","respiratory","1","1"
"I06.0","Rheumatic aortic stenosis","394.3","Aortic valve disease","394-399.99","circulatory system","1","1"
"I06.1","Rheumatic aortic insufficiency","394.3","Aortic valve disease","394-399.99","circulatory system","1","1"
"I06.2","Rheumatic aortic stenosis with insufficiency","394.3","Aortic valve disease","394-399.99","circulatory system","1","1"
"I51.7","Cardiomegaly","416","Cardiomegaly","415-417.99","circulatory system","1","1"
"K51.211","Ulcerative (chronic) proctitis with rectal bleeding","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.013","Ulcerative (chronic) pancolitis with fistula","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.019","Ulcerative (chronic) pancolitis with unspecified complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.011","Ulcerative (chronic) pancolitis with rectal bleeding","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.20","Ulcerative (chronic) proctitis without complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.512","Left sided colitis with intestinal obstruction","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.219","Ulcerative (chronic) proctitis with unspecified complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.511","Left sided colitis with rectal bleeding","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.00","Ulcerative (chronic) pancolitis without complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.519","Left sided colitis with unspecified complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.514","Left sided colitis with abscess","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.50","Left sided colitis without complications","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.012","Ulcerative (chronic) pancolitis with intestinal obstruction","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.213","Ulcerative (chronic) proctitis with fistula","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.0","Ulcerative (chronic) pancolitis","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.513","Left sided colitis with fistula","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.014","Ulcerative (chronic) pancolitis with abscess","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.018","Ulcerative (chronic) pancolitis with other complication","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.218","Ulcerative (chronic) proctitis with other complication","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.518","Left sided colitis with other complication","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.212","Ulcerative (chronic) proctitis with intestinal obstruction","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.2","Ulcerative (chronic) proctitis","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"K51.214","Ulcerative (chronic) proctitis with abscess","555.21","Ulcerative colitis (chronic)","555-564.99","digestive","1","1"
"N26.1","Atrophy of kidney (terminal)","580.4","Renal sclerosis, NOS","580-590.99","genitourinary","1","1"
"N26.9","Renal sclerosis, unspecified","580.4","Renal sclerosis, NOS","580-590.99","genitourinary","1","1"
"Z38.64","Quadruplet liveborn infant, delivered by cesarean","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.019","Encounter for initial prescription of contraceptives, unspecified","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z39","Encounter for maternal postpartum care and examination","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.2","Encounter for other antenatal screening follow-up","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.3","Twins, one liveborn and one stillborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.44","Encounter for surveillance of vaginal ring hormonal contraceptive device","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z33.2","Encounter for elective termination of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.61","Triplets, some liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.438","Encounter for other genetic testing of female for procreative management","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.1","Weeks of gestation of pregnancy, weeks 10-19","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z33","Pregnant state","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.017","Encounter for initial prescription of implantable subdermal contraceptive","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.81","Encounter for male factor infertility in female patient","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.85","Encounter for antenatal screening for Streptococcus B","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.0","Weeks of gestation of pregnancy, unspecified or less than 10 weeks","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z34.83","Encounter for supervision of other normal pregnancy, third trimester","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.81","Encounter for antenatal screening for hydrops fetalis","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.8","Encounter for other procreative management","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.86","Encounter for antenatal screening for cervical length","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.61","Procreative counseling and advice using natural family planning","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.5","Encounter for genetic counseling","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.2","Encounter for sterilization","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z38.3","Twin liveborn infant, born in hospital","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.014","Encounter for initial prescription of intrauterine contraceptive device","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z33.3","Pregnant state, gestational carrier","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.431","Encounter for routine checking of intrauterine contraceptive device","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.23","23 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.33","33 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37","Outcome of delivery","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z34.93","Encounter for supervision of normal pregnancy, unspecified, third trimester","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z34.90","Encounter for supervision of normal pregnancy, unspecified, unspecified trimester","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.8","Encounter for other antenatal screening","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.42","Encounter for surveillance of injectable contraceptive","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.41","Encounter for fertility testing","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.24","24 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.49","Encounter for surveillance of other contraceptives","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.53","Quintuplets, all liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.430","Encounter for insertion of intrauterine contraceptive device","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z32.01","Encounter for pregnancy test, result positive","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.4","Enctr for antenatal screening for fetal growth retardation","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.00","Weeks of gestation of pregnancy not specified","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z34.92","Encounter for supervision of normal pregnancy, unspecified, second trimester","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.41","41 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.433","Encounter for removal and reinsertion of intrauterine contraceptive device","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z36.84","Encounter for antenatal screening for fetal lung maturity","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.31","31 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.30","30 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.3","Weeks of gestation of pregnancy, weeks 30-39","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.54","Sextuplets, all liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.015","Encounter for initial prescription of vaginal ring hormonal contraceptive","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.18","18 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z38.0","Single liveborn infant, born in hospital","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.10","10 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z32.02","Encounter for pregnancy test, result negative","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.21","21 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z34.8","Encounter for supervision of other normal pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.60","Multiple births, unspecified, some liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z31.448","Encounter for other genetic testing of male for procreative management","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z38.8","Other multiple liveborn infant, unspecified as to place of birth","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z30.40","Encounter for surveillance of contraceptives, unspecified","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z3A.42","42 weeks gestation of pregnancy","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.51","Triplets, all liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
"Z37.2","Twins, both liveborn","1010.6","Persons encountering health services in circumstances related to reproduction","","","",""
